FileName,Language,MissingVersesOrChoruses
1062_1062.xml,hin,"v1,v2"
1063_1063.xml,eng,"v1,v2"
1063_1063.xml,tel,"v1,v2"
1063_1063.xml,hin,"v1,v2"
1064_1064.xml,eng,"v1,v2"
1064_1064.xml,tel,"v1,v2"
1064_1064.xml,hin,"v1,v2"
1065_1065.xml,eng,"v1,v2"
1065_1065.xml,tel,"v1,v2"
1065_1065.xml,hin,"v1,v2"
1066_1066.xml,eng,"v1,v2"
1066_1066.xml,tel,"v1,v2"
1066_1066.xml,hin,"v1,v2"
1067_1067.xml,eng,"v1,v2"
1067_1067.xml,tel,"v1,v2"
1067_1067.xml,hin,"v1,v2"
1068_1068.xml,eng,"v1,v2"
1068_1068.xml,tel,"v1,v2"
1068_1068.xml,hin,"v1,v2"
1069_1069.xml,eng,"v1,v2,v3"
1069_1069.xml,tel,"v1,v2,v3"
1069_1069.xml,hin,"v1,v2,v3"
106_Madhura madhuramu yesu.xml,eng,v6
106_Madhura madhuramu yesu.xml,tel,v6
106_Madhura madhuramu yesu.xml,tam,"v5,v6"
1070_1070.xml,eng,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1070_1070.xml,tel,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1070_1070.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1071_1071.xml,eng,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1071_1071.xml,tel,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1071_1071.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1072_1072.xml,eng,"v1,v2"
1072_1072.xml,tel,"v1,v2"
1072_1072.xml,hin,"v1,v2"
1073_1073.xml,eng,"v1,v2"
1073_1073.xml,tel,"v1,v2"
1073_1073.xml,hin,"v1,v2"
1074_1074.xml,eng,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1074_1074.xml,tel,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1074_1074.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1075_1075.xml,eng,"v1,v2"
1075_1075.xml,tel,"v1,v2"
1075_1075.xml,hin,"v1,v2"
1076_1076.xml,eng,"v1,v2"
1076_1076.xml,tel,"v1,v2"
1076_1076.xml,hin,"v1,v2"
1077_1077.xml,eng,"v1,v2"
1077_1077.xml,tel,"v1,v2"
1077_1077.xml,hin,"v1,v2"
1078_1078.xml,eng,"v1,v2"
1078_1078.xml,tel,"v1,v2"
1078_1078.xml,hin,"v1,v2"
1079_1079.xml,eng,"v1,v2"
1079_1079.xml,tel,"v1,v2"
1079_1079.xml,hin,"v1,v2"
107_Parishuddha prabhu yesu.xml,eng,v8
107_Parishuddha prabhu yesu.xml,tel,v8
107_Parishuddha prabhu yesu.xml,tam,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1080_1080.xml,eng,"v1,v2"
1080_1080.xml,tel,"v1,v2"
1080_1080.xml,hin,"v1,v2"
1081_1081.xml,eng,"v1,v2"
1081_1081.xml,tel,"v1,v2"
1081_1081.xml,hin,"v1,v2"
1082_1082.xml,eng,"v1,v2"
1082_1082.xml,tel,"v1,v2"
1082_1082.xml,hin,"v1,v2"
1083_1083.xml,eng,"v1,v2"
1083_1083.xml,tel,"v1,v2"
1083_1083.xml,hin,"v1,v2"
1084_1084.xml,eng,"v1,v2"
1084_1084.xml,tel,"v1,v2"
1084_1084.xml,hin,"v1,v2"
1085_1085.xml,eng,"v1,v2"
1085_1085.xml,tel,"v1,v2"
1085_1085.xml,hin,"v1,v2"
1086_1086.xml,eng,"v1,v2"
1086_1086.xml,tel,"v1,v2"
1086_1086.xml,hin,"v1,v2"
1087_1087.xml,eng,"v1,v2"
1087_1087.xml,tel,"v1,v2"
1087_1087.xml,hin,"v1,v2"
1088_1088.xml,eng,"v1,v2"
1088_1088.xml,tel,"v1,v2"
1088_1088.xml,hin,"v1,v2"
1089_1089.xml,eng,"v1,v2"
1089_1089.xml,tel,"v1,v2"
1089_1089.xml,hin,"v1,v2"
108_Jai Jai Jai Jai raajula raajaa.xml,eng,"c2,v7"
108_Jai Jai Jai Jai raajula raajaa.xml,tel,"c2,v7"
108_Jai Jai Jai Jai raajula raajaa.xml,hin,c2
1090_1090.xml,eng,"v1,v2"
1090_1090.xml,tel,"v1,v2"
1090_1090.xml,hin,"v1,v2"
1091_1091.xml,eng,"v1,v2"
1091_1091.xml,tel,"v1,v2"
1091_1091.xml,hin,"v1,v2"
