FileName,VerseName,MissingLanguages
300_Mahimayutudu maa yesu raju.xml,o1,"eng,tel,tam,hin"
301_Meghamumeeda Yesuraju.xml,o1,"eng,tel,tam,hin"
306_Parishuddu lellaru yesun pogadi.xml,v5,hin
306_Parishuddu lellaru yesun pogadi.xml,v6,hin
306_Parishuddu lellaru yesun pogadi.xml,o1,"eng,tel,tam,hin"
309_Adigo vachinadevaro chudumu.xml,o1,"eng,tel,tam,hin"
30_Devaa naa devudavu neeve.xml,v8,hin
30_Devaa naa devudavu neeve.xml,o1,"eng,tel,tam,hin"
310_Yesu sheeghramuga thirigi vachchun.xml,o1,"eng,tel,tam,hin"
312_Jayamani paadu prabhu yesunake.xml,o1,"eng,tel,tam,hin"
313_Kaalamu sameepamu prabhu yesu.xml,o1,"eng,tel,tam,hin"
314_Prakaasha vastramutho paraloka mahimatho.xml,o1,"eng,tel,tam,hin"
315_Raajula raaju - prabhuvula prabhoo.xml,o1,"eng,tel,tam,hin"
"316_Jagratha, bakthulara pilupi.xml",o1,"eng,tel,tam,hin"
317_Siyonu raaju vachchunu madini.xml,o1,"eng,tel,tam,hin"
318_Prabhuvu digivatchunu paramunundi.xml,o1,"eng,tel,tam,hin"
319_Kristu yesu vachunu.xml,v5,"eng,tel"
319_Kristu yesu vachunu.xml,o1,"eng,tel,tam,hin"
31_Sarvaloka nivaasu laara.xml,v6,hin
31_Sarvaloka nivaasu laara.xml,o1,"eng,tel,tam,hin"
320_Boora shabhdambu ningin.xml,o1,"eng,tel,tam,hin"
322_Kontha samayame migilinadi.xml,o1,"eng,tel,tam,hin"
323_Jayinchu vaarini koni pova.xml,o1,"eng,tel,tam,hin"
32_Nee maargamu devaa.xml,o1,"eng,tel,tam,hin"
330_Maharaja Yesu nekai mahima kalugu gaka.xml,o1,"eng,tel,tam,hin"
332_Premadankaa jagamuna.xml,o1,"eng,tel,tam,hin"
333_Jayamani padudi sarwa janama.xml,o1,"eng,tel,tam,hin"
334_Jagati karudenche - rakshana kartha.xml,o1,"eng,tel,tam,hin"
335_Danya Danya yesu namamu.xml,o1,"eng,tel,tam,hin"
337_Papamunaku jeetamu maranamu.xml,v6,"tam,hin"
337_Papamunaku jeetamu maranamu.xml,o1,"eng,tel,tam,hin"
33_Kristuni naamamu nityamu nilchun.xml,v6,hin
33_Kristuni naamamu nityamu nilchun.xml,v7,hin
33_Kristuni naamamu nityamu nilchun.xml,o1,"eng,tel,tam,hin"
347_Paripurnambagu guruvu yevaru.xml,o1,"eng,tel,tam,hin"
348_Prajalara vegame raare.xml,o1,"eng,tel,tam,hin"
349_Premamrutha dhaarala chindina mana.xml,v4,"eng,tel,tam"
349_Premamrutha dhaarala chindina mana.xml,v5,"eng,tel,tam"
349_Premamrutha dhaarala chindina mana.xml,o1,"eng,tel,tam,hin"
34_Yoodaalo devudu prasiddhudu.xml,o1,"eng,tel,tam,hin"
351_Randi randi yesuni yoddaku.xml,o1,"eng,tel,tam,hin"
354_Kriste sarvaadhikaari.xml,v6,tam
354_Kriste sarvaadhikaari.xml,o1,"eng,tel,tam,hin"
355_Andhakaara lokamunaku.xml,o1,"eng,tel,tam,hin"
356_Maanava roopamunu dharinchi.xml,o1,"eng,tel,tam,hin"
357_Saatilenidi Yesuni rakhtamu.xml,o1,"eng,tel,tam,hin"
360_Devudu lokamunu yentho preminchenu.xml,o1,"eng,tel,tam,hin"
361_Maya lokamu - mosapokumu.xml,o1,"eng,tel,tam,hin"
362_Nyaayapeetahmu nee mundu unnadi.xml,o1,"eng,tel,tam,hin"
363_Mahavaidyundu vachenu.xml,v7,hin
363_Mahavaidyundu vachenu.xml,o1,"eng,tel,tam,hin"
364_Shubhavartha vintimi.xml,v3,"eng,tel"
364_Shubhavartha vintimi.xml,v4,"eng,tel,hin"
364_Shubhavartha vintimi.xml,o1,"eng,tel,tam,hin"
365_Immaanuyeluni rakhtamu.xml,o1,"eng,tel,tam,hin"
